0	0	0
0.08	0.08	0.1
0.06	0.06	0.05
0.1	0.1	0.15
0.08	0.08	0.08
0.09	0.15	0.4
0.1	0.1	0.43
0.15	0.02	0.34
0.2	0.14	0.35
0	0	0.5
0.18	0.18	0.55
0.06	0.06	0.51
0.1	0.1	0.52
0.1	0.1	0.7
0.2	0.2	0.7
0.12	0.12	0.75
0.05	0.07	0.7
0.1	0.25	0.1
0.15	0.32	0.05
0.2	0.29	0.25
0.12	0.28	0.2
0.18	0.3	0.37
0.1	0.27	0.31
0.18	0.31	0.32
0.06	0.29	0.35
0.09	0.3	0.68
0.04	0.28	0.55
0.09	0.255	0.6
0.08	0.325	0.62
0.15	0.275	0.8
0.12	0.245	0.75
0.15	0.295	0.75
0.1	0.256	0.7
0.18	0.32	0.04
0.2	0.45	0.28
0.06	0.35	0.12
0.1	0.42	0.22
0.18	0.4	0.32
0.09	0.33	0.31
0.19	0.38	0.38
0.02	0.33	0.36
0.2	0.49	0.6
0.14	0.49	0.55
0.18	0.33	0.61
0.115	0.35	0.65
0.17	0.36	0.8
0.1	0.39	0.75
0.13	0.39	0.85
0.18	0.34	0.71
